.\search-framework\target\release\sweep.exe : [sweep] n=200000 live=158 elapsed=11.0s
At line:3 char:1
+ .\search-framework\target\release\sweep.exe --lo 1 --hi 10000000 --ma ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([sweep] n=200000 live=158 elapsed=11.0s:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
[sweep] n=59800000 live=5 elapsed=52.2s
[sweep] n=60000000 live=5 elapsed=52.2s
[sweep] n=60200000 live=5 elapsed=52.3s
[sweep] n=60400000 live=5 elapsed=52.3s
[sweep] n=60600000 live=5 elapsed=52.4s
[sweep] n=60800000 live=5 elapsed=52.4s
[sweep] n=61000000 live=5 elapsed=52.5s
[sweep] n=61200000 live=5 elapsed=52.6s
[sweep] n=61400000 live=5 elapsed=52.6s
[sweep] n=61600000 live=5 elapsed=52.7s
[sweep] n=61800000 live=5 elapsed=52.7s
[sweep] n=62000000 live=5 elapsed=52.8s
[sweep] n=62200000 live=5 elapsed=52.8s
[sweep] n=62400000 live=5 elapsed=52.9s
[sweep] n=62600000 live=5 elapsed=53.0s
[sweep] n=62800000 live=5 elapsed=53.0s
[sweep] n=63000000 live=5 elapsed=53.1s
[sweep] n=63200000 live=5 elapsed=53.1s
[sweep] n=63400000 live=5 elapsed=53.2s
[sweep] n=63600000 live=5 elapsed=53.2s
[sweep] n=63800000 live=5 elapsed=53.3s
[sweep] n=64000000 live=5 elapsed=53.4s
[sweep] n=64200000 live=5 elapsed=53.4s
[sweep] n=64400000 live=5 elapsed=53.5s
[sweep] n=64600000 live=5 elapsed=53.5s
[sweep] n=64800000 live=5 elapsed=53.6s
[sweep] n=65000000 live=5 elapsed=53.6s
[sweep] n=65200000 live=5 elapsed=53.7s
[sweep] n=65400000 live=5 elapsed=53.7s
[sweep] n=65600000 live=5 elapsed=53.8s
[sweep] n=65800000 live=5 elapsed=53.9s
[sweep] n=66000000 live=5 elapsed=53.9s
[sweep] n=66200000 live=5 elapsed=54.0s
[sweep] n=66400000 live=5 elapsed=54.0s
[sweep] n=66600000 live=5 elapsed=54.1s
[sweep] n=66800000 live=5 elapsed=54.1s
[sweep] n=67000000 live=5 elapsed=54.2s
[sweep] n=67200000 live=5 elapsed=54.3s
[sweep] n=67400000 live=5 elapsed=54.3s
[sweep] n=67600000 live=5 elapsed=54.4s
[sweep] n=67800000 live=5 elapsed=54.4s
[sweep] n=68000000 live=5 elapsed=54.5s
[sweep] n=68200000 live=5 elapsed=54.5s
[sweep] n=68400000 live=5 elapsed=54.6s
[sweep] n=68600000 live=5 elapsed=54.7s
[sweep] n=68800000 live=5 elapsed=54.7s
[sweep] n=69000000 live=5 elapsed=54.8s
[sweep] n=69200000 live=5 elapsed=54.8s
[sweep] n=69400000 live=5 elapsed=54.9s
[sweep] n=69600000 live=5 elapsed=54.9s
[sweep] n=69800000 live=5 elapsed=55.0s
[sweep] n=70000000 live=5 elapsed=55.0s
[sweep] n=70200000 live=5 elapsed=55.1s
[sweep] n=70400000 live=5 elapsed=55.2s
[sweep] n=70600000 live=5 elapsed=55.2s
[sweep] n=70800000 live=5 elapsed=55.3s
[sweep] n=71000000 live=5 elapsed=55.3s
[sweep] n=71200000 live=5 elapsed=55.4s
[sweep] n=71400000 live=5 elapsed=55.4s
[sweep] n=71600000 live=5 elapsed=55.5s
[sweep] n=71800000 live=5 elapsed=55.5s
[sweep] n=72000000 live=5 elapsed=55.6s
[sweep] n=72200000 live=5 elapsed=55.7s
[sweep] n=72400000 live=5 elapsed=55.7s
[sweep] n=72600000 live=5 elapsed=55.8s
[sweep] n=72800000 live=5 elapsed=55.8s
[sweep] n=73000000 live=5 elapsed=55.9s
[sweep] n=73200000 live=5 elapsed=55.9s
[sweep] n=73400000 live=5 elapsed=56.0s
[sweep] n=73600000 live=5 elapsed=56.1s
[sweep] n=73800000 live=5 elapsed=56.1s
[sweep] n=74000000 live=5 elapsed=56.2s
[sweep] n=74200000 live=5 elapsed=56.3s
[sweep] n=74400000 live=5 elapsed=56.3s
[sweep] n=74600000 live=5 elapsed=56.4s
[sweep] n=74800000 live=5 elapsed=56.4s
[sweep] n=75000000 live=5 elapsed=56.5s
[sweep] n=75200000 live=5 elapsed=56.6s
[sweep] n=75400000 live=5 elapsed=56.6s
